Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000trmy,,Lead,Sent,00Q3000001GkCPW,2/8/16,2/8/16,,0,"Vice President, IT Program Management",Bank of New York Mellon Corporation,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCPo,2/8/16,2/8/16,,0,"Director, IT Security and Compliance","Enterprise Products Partners, LP",,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCPt,2/8/16,2/8/16,,0,"Director, Technology",BP America Inc.,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCR1,2/8/16,2/8/16,,0,"Corporate Vice President, Messaging and Mobility Services",New York Life Insurance Company,,,United States,GA,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCRJ,2/9/16,2/9/16,,0,IT ProjectManager,Tampa General Hospital,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCSB,2/8/16,2/8/16,,0,"Director, Data Management",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCSD,2/8/16,2/8/16,,0,"Senior Director, Technology",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCSR,2/8/16,2/8/16,,0,"Senior Project Manager, IT",Stryker Corporation,,,United States,California,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCSy,2/8/16,2/8/16,,0,Chief Information Security Officer (CISO),Hess Corporation,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCT0,2/8/16,2/8/16,,0,"Head, Digital Applications",Invesco Ltd.,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCT5,2/8/16,2/8/16,,0,IT Technical Analyst,CenterPoint Energy,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUC,2/8/16,2/8/16,,0,"Director, HealthNet - HSC",University of Florida Health & Shands HealthCare,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUN,2/8/16,2/8/16,,0,"Lead, Systems Analyst",Southern Company,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUS,2/8/16,2/8/16,,0,"Manager, Human Resources Solutions",Southern Company,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUW,2/8/16,2/8/16,,0,"Manager, Information Technology",Southern Company,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUq,2/8/16,2/8/16,,0,"Director, Information Technology","Enbridge Energy Partners, L.P.",,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCUu,2/8/16,2/8/16,,0,"Senior Vice President, Information Technology",Jones Lang LaSalle Inc.,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCVr,2/8/16,2/8/16,,0,"Manager, IT - Functional",SYSCO Corporation,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCWe,2/8/16,2/8/16,,0,"Director, Information Technology - Enterprise Performance Management","Acuity Brands, Inc.",,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCWt,2/8/16,2/8/16,,0,SAP Business Analyst,Axiall Corporation,,,United States,Georgia,Modernize Existing Applications with Private PaaS
