Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000uvvpy,00130000019s4sG,Closed Lost,United States,MD,License,Google Natural Search,12/25/2020,0,Q4-2020,2936,12/11/2012
0063000000usuaM,00130000019sQIJ,Closed Lost,United States,,License,,12/25/2020,0,Q4-2020,3046,8/23/2012
0063000000utd8h,00130000019sQIJ,Closed Lost,United States,,License,,12/25/2020,0,Q4-2020,3020,9/18/2012
0063000000vm5eN,00130000019skR5,Closed Lost,United States,CT,License,,10/30/2013,0,Q4-2013,239,3/5/2013
0063000000ut32T,00130000019skR5,Closed Lost,United States,CT,License,,12/31/2020,0,Q4-2020,3047,8/28/2012
0063000000utOlK,0013000001APXEa,Closed Lost,United States,FL,License,CIO.com,12/25/2020,0,Q4-2020,3027,9/11/2012
0063000000utlBx,0013000001AQvlI,Closed Lost,United States,,Service,,12/25/2013,0,Q4-2013,457,9/24/2012
00630000013EBjI,0013000001ARbr1,Interest,United States,CT,License & Service,Google Ads,6/30/2016,5,Q2-2016,2,2/8/2016
0063000000uu8YX,0013000001ARbr1,Closed Lost,United States,CT,License,Rainking,12/25/2020,0,Q4-2020,3004,10/4/2012
0063000000zDA1p,0013000001AtGez,Prove / POC,Belgium,,License,Google Natural Search,9/30/2016,60,Q3-2016,605,6/16/2014
0063000000uvEaK,0013000001AtaOS,Closed Lost,United States,OH,License,,3/29/2013,0,Q1-2013,137,11/12/2012
0063000000uvLsA,0013000001Ato6u,Closed Lost,United States,NY,Service,,3/29/2013,0,Q1-2013,133,11/16/2012
0063000000uvY8j,0013000001AuMXF,Closed Lost,United States,IL,License,Trade Show,12/25/2020,0,Q4-2020,2950,11/27/2012
0063000000uvjeF,0013000001Auiu4,Closed Lost,United States,ID,Service,Google Natural Search,12/25/2013,0,Q4-2013,387,12/3/2012
0063000000uvqWX,0013000001AutFV,Closed Lost,United States,PA,License,,12/25/2020,0,Q4-2020,2940,12/7/2012
0063000000xlG2Q,0013000001AvSbk,Qualify,Canada,ON,License,Rainking,5/23/2016,20,Q2-2016,730,2/10/2014
0063000000uwWlZ,0013000001AvnxR,Closed Lost,United States,MO,License,Tradeshow,12/25/2015,0,Q4-2015,1079,1/10/2013
0063000000uwZQQ,0013000001Avs4y,Closed Lost,United States,NV,License,Google Natural Search,12/25/2013,0,Q4-2013,348,1/11/2013
0063000000zEJbN,0013000001Aw1w5,Closed Lost,,CT,Service,Partner,9/30/2014,0,Q3-2014,74,7/18/2014
0063000000yVTaN,0013000001Aw1w5,Closed Lost,,CT,License & Service,Partner,12/18/2015,0,Q4-2015,610,4/17/2014
00630000013ChdM,0013000001BotUC,Interest,Canada,BC,CloudRise,Web,11/30/2016,5,Q4-2016,91,11/11/2015
